datetime,points
2013/10/03 19:30:48,0.659514691
2013/10/18 22:23:36,0.562551199
2013/11/03 01:16:24,0.981397365
2013/11/18 04:09:12,0.38862024
2013/12/03 07:02:00,0.409412937
2013/12/18 09:54:48,0.160187207
2014/01/02 12:47:36,0.31876674
2014/01/17 15:40:24,0.573443146
2014/02/01 18:33:12,0.259350953
2014/02/16 21:26:00,0.475135452
2014/03/04 00:18:48,0.705694066
2014/03/19 03:11:36,0.805675454
2014/04/03 06:04:24,0.305464527
2014/04/18 08:57:12,0.579141985
2014/05/03 11:50:00,0.993950362
2014/05/18 14:42:48,0.812645724
2014/06/02 17:35:36,0.518006822
2014/06/17 20:28:24,0.257026975
2014/07/02 23:21:12,0.395739163
2014/07/18 02:14:00,0.106273663
2014/08/02 05:06:48,0.403310777
2014/08/17 07:59:36,0.401282345
2014/09/01 10:52:24,0.504342604
2014/09/16 13:45:12,0.717314066
2014/10/01 16:38:00,0.485384364
2014/10/16 19:30:48,0.216213524
2014/10/31 22:23:36,0.261047029
2014/11/16 01:16:24,0.317934514
2014/12/01 04:09:12,0.787395773
2014/12/16 07:02:00,0.649562907
2014/12/31 09:54:48,0.008141386
2015/01/15 12:47:36,0.641323648
2015/01/30 15:40:24,0.40292515
2015/02/14 18:33:12,0.477271681
2015/03/01 21:26:00,0.843779562
2015/03/17 00:18:48,0.081762788
2015/04/01 03:11:36,0.276954874
2015/04/16 06:04:24,0.268992533
2015/05/01 08:57:12,0.240696931
2015/05/16 11:50:00,0.055314086
2015/05/31 14:42:48,0.921666905
2015/06/15 17:35:36,0.985734363
2015/06/30 20:28:24,0.742054665
2015/07/15 23:21:12,0.112248007
2015/07/31 02:14:00,0.307367444
2015/08/15 05:06:48,0.79040069
2015/08/30 07:59:36,0.316471952
2015/09/14 10:52:24,0.757727901
2015/09/29 13:45:12,0.90994358
2015/10/14 16:38:00,0.095885094
2015/10/29 19:30:48,0.512866602
2015/11/13 22:23:36,0.067218071
2015/11/29 01:16:24,0.273436064
2015/12/14 04:09:12,0.317501008
2015/12/29 07:02:00,0.886299456
