datetime,points
2000/01/05 23:21:12,0.562354656
2000/01/21 02:14:00,0.345169185
2000/02/05 05:06:48,0.321268259
2000/02/20 07:59:36,0.140050986
2000/03/06 10:52:24,0.685802961
2000/03/21 13:45:12,0.60975651
2000/04/05 16:38:00,0.159955463
2000/04/20 19:30:48,0.745185071
2000/05/05 22:23:36,0.909526414
2000/05/21 01:16:24,0.127097771
2000/06/05 04:09:12,0.730245235
2000/06/20 07:02:00,0.908454894
2000/07/05 09:54:48,0.439190124
2000/07/20 12:47:36,0.330103617
2000/08/04 15:40:24,0.763752532
2000/08/19 18:33:12,0.193134409
2000/09/03 21:26:00,0.6255335
2000/09/19 00:18:48,0.028038561
2000/10/04 03:11:36,0.886988609
2000/10/19 06:04:24,0.468071394
2000/11/03 08:57:12,0.615679121
2000/11/18 11:50:00,0.299436878
2000/12/03 14:42:48,0.945846496
2000/12/18 17:35:36,0.095713239
2001/01/02 20:28:24,0.82067221
2001/01/17 23:21:12,0.922884857
2001/02/02 02:14:00,0.218250868
2001/02/17 05:06:48,0.238055539
2001/03/04 07:59:36,0.320352119
2001/03/19 10:52:24,0.09776424
2001/04/03 13:45:12,0.827805954
2001/04/18 16:38:00,0.680761779
2001/05/03 19:30:48,0.659978797
2001/05/18 22:23:36,0.87279073
2001/06/03 01:16:24,0.903053107
2001/06/18 04:09:12,0.157646572
2001/07/03 07:02:00,0.160889628
2001/07/18 09:54:48,0.752062326
2001/08/02 12:47:36,0.270987739
2001/08/17 15:40:24,0.199696248
2001/09/01 18:33:12,0.170925949
2001/09/16 21:26:00,0.8155011
2001/10/02 00:18:48,0.040032563
2001/10/17 03:11:36,0.214449393
2001/11/01 06:04:24,0.059838184
2001/11/16 08:57:12,0.632114239
2001/12/01 11:50:00,0.933222107
2001/12/16 14:42:48,0.642463991
2001/12/31 17:35:36,0.792352935
2002/01/15 20:28:24,0.233041284
2002/01/30 23:21:12,0.520276912
2002/02/15 02:14:00,0.385575429
2002/03/02 05:06:48,0.856481073
2002/03/17 07:59:36,0.75130106
2002/04/01 10:52:24,0.870513782
2002/04/16 13:45:12,0.633280458
2002/05/01 16:38:00,0.365178526
2002/05/16 19:30:48,0.776509094
2002/05/31 22:23:36,0.000679389
2002/06/16 01:16:24,0.155867993
2002/07/01 04:09:12,0.888411285
2002/07/16 07:02:00,0.619943661
2002/07/31 09:54:48,0.987879445
2002/08/15 12:47:36,0.460002463
2002/08/30 15:40:24,0.509306425
2002/09/14 18:33:12,0.816970026
2002/09/29 21:26:00,0.998204895
2002/10/15 00:18:48,0.989534612
2002/10/30 03:11:36,0.076250688
2002/11/14 06:04:24,0.27537693
2002/11/29 08:57:12,0.938382814
2002/12/14 11:50:00,0.704188144
2002/12/29 14:42:48,0.349203638
2003/01/13 17:35:36,0.00719915
2003/01/28 20:28:24,0.914670532
2003/02/12 23:21:12,0.971198029
2003/02/28 02:14:00,0.219569538
2003/03/15 05:06:48,0.034614453
2003/03/30 07:59:36,0.541097931
2003/04/14 10:52:24,0.188469994
2003/04/29 13:45:12,0.318054343
2003/05/14 16:38:00,0.191450959
2003/05/29 19:30:48,0.595084496
2003/06/13 22:23:36,0.181344424
