datetime,points
2027/07/17 18:33:12,0.469207129
2027/08/01 21:26:00,0.858743047
2027/08/17 00:18:48,0.013330048
2027/09/01 03:11:36,0.991632191
2027/09/16 06:04:24,0.437721885
2027/10/01 08:57:12,0.427408981
2027/10/16 11:50:00,0.91633692
2027/10/31 14:42:48,0.880469558
2027/11/15 17:35:36,0.690332139
2027/11/30 20:28:24,0.684718259
2027/12/15 23:21:12,0.998834528
2027/12/31 02:14:00,0.929040838
2028/01/15 05:06:48,0.739152681
2028/01/30 07:59:36,0.180282098
2028/02/14 10:52:24,0.343631644
2028/02/29 13:45:12,0.849080238
2028/03/15 16:38:00,0.094989557
2028/03/30 19:30:48,0.231946968
2028/04/14 22:23:36,0.051809518
2028/04/30 01:16:24,0.803527339
2028/05/15 04:09:12,0.755284465
2028/05/30 07:02:00,0.305771578
2028/06/14 09:54:48,0.903062151
2028/06/29 12:47:36,0.222662695
2028/07/14 15:40:24,0.885212309
2028/07/29 18:33:12,0.747216283
2028/08/13 21:26:00,0.774812538
2028/08/29 00:18:48,0.238985087
2028/09/13 03:11:36,0.878595502
2028/09/28 06:04:24,0.877263661
2028/10/13 08:57:12,0.566586177
2028/10/28 11:50:00,0.413264822
2028/11/12 14:42:48,0.697745632
2028/11/27 17:35:36,0.175700621
2028/12/12 20:28:24,0.142243183
2028/12/27 23:21:12,0.390037626
2029/01/12 02:14:00,0.242179415
2029/01/27 05:06:48,0.614927747
2029/02/11 07:59:36,0.175900018
2029/02/26 10:52:24,0.43651123
2029/03/13 13:45:12,0.058900416
2029/03/28 16:38:00,0.590713175
2029/04/12 19:30:48,0.394684786
2029/04/27 22:23:36,0.282289847
2029/05/13 01:16:24,0.172653714
2029/05/28 04:09:12,0.221860889
2029/06/12 07:02:00,0.796383928
2029/06/27 09:54:48,0.052600531
2029/07/12 12:47:36,0.068037348
2029/07/27 15:40:24,0.633338831
2029/08/11 18:33:12,0.493571904
2029/08/26 21:26:00,0.138867191
2029/09/11 00:18:48,0.964513979
2029/09/26 03:11:36,0.933193722
2029/10/11 06:04:24,0.39849682
2029/10/26 08:57:12,0.518083072
2029/11/10 11:50:00,0.964258622
2029/11/25 14:42:48,0.42918404
2029/12/10 17:35:36,0.623769189
2029/12/25 20:28:24,0.87416363
2030/01/09 23:21:12,0.127312441
2030/01/25 02:14:00,0.722091175
2030/02/09 05:06:48,0.515478488
2030/02/24 07:59:36,0.44882645
2030/03/11 10:52:24,0.584813364
2030/03/26 13:45:12,0.240982451
2030/04/10 16:38:00,0.063270323
